Id,Sales
1,6718.9033
2,7183.4614
3,7564.434
4,7746.037
5,7564.434
6,7746.037
7,7219.6743
8,7234.8745
9,8342.768
10,7198.5854
11,8233.606
12,7580.36
13,7241.8887
14,8215.564
15,6998.5054
16,7113.025
17,8054.014
18,7148.883
19,7695.6445
20,7303.445
21,7599.638
22,7495.7725
23,7425.7363
24,7161.768
25,7438.8013
26,8087.091
27,7113.69
28,7729.9404
29,6880.1113
30,6929.915
31,7857.8804
32,6771.227
33,8059.6543
34,7785.895
35,6799.0034
36,6771.227
37,7489.005
38,7046.8135
39,7324.205
40,6532.1353
41,7242.2896
42,6844.0674
43,7221.5063
44,6532.1353
45,6547.8047
46,6944.081
47,7067.053
48,7391.8315
49,7269.8486
50,6860.4854
51,6529.768
52,6410.07
53,6703.8853
54,6685.157
55,6513.6255
56,6681.173
57,6762.5845
58,6757.0137
59,6757.0137
60,7281.2153
61,6918.41
62,6996.95
63,6134.27
64,6083.182
65,6485.196
66,7108.569
67,6749.1685
68,7241.613
69,7720.17
70,7089.2783
71,8043.8496
72,7241.613
73,7853.213
74,8462.443
75,8097.2324
76,8024.363
77,8612.867
78,7502.861
79,7999.6494
80,8473.298
81,8619.318
82,8371.296
83,8371.296
84,9287.974
85,8473.298
86,8619.318
87,9287.974
88,8473.298
89,8619.318
90,8371.296
91,9134.704
92,8371.296
93,8473.298
94,8801.947
95,8010.484
96,8144.892
97,6969.867
98,6823.2485
99,7409.994
100,8144.892
101,8010.484
102,7100.986
103,6969.867
104,6969.867
105,7086.8174
106,7837.117
107,7583.086
108,7807.7656
109,7638.3564
110,7131.285
111,8479.225
112,8105.879
113,8231.274
114,7635.887
115,7865.334
116,7322.3335
117,8201.683
118,8575.366
119,8406.95
120,8911.032
121,8761.509
122,8656.028
123,8406.95
124,9054.71
125,7748.446
126,7470.67
127,7596.022
128,8204.335
129,8562.077
130,7681.916
131,8436.324
132,7681.916
133,7603.0312
134,8300.709
135,8447.202
136,7779.726
137,8118.0884
138,7170.3457
139,8408.874
140,7325.7075
141,7461.377
142,7128.191
143,7237.518
144,8353.445
145,7552.301
146,7128.191
147,7128.191
148,8340.437
149,7248.516
150,7892.5903
151,7242.7456
152,7106.596
153,8292.677
154,7464.4375
155,8393.7295
156,6764.307
157,6954.899
158,7306.6987
159,7090.0356
160,7099.706
161,7758.215
162,6947.321
163,7593.523
164,7468.212
165,7758.215
166,7539.849
167,6764.52
168,6884.8906
169,6978.122
170,6978.122
171,6753.869
172,7825.2485
173,7527.5903
174,7593.045
175,8279.06
176,8202.059
177,7332.4883
178,7897.9673
179,7878.2627
180,7796.864
181,7377.4907
182,6569.888
183,6649.5254
184,6924.57
185,7351.7954
186,6974.882
187,7560.171
188,7028.937
189,6754.887
190,7759.192
191,6901.854
192,7013.3936
193,7853.7446
194,7028.937
195,7759.192
196,6752.5166
197,7787.6924
198,7331.873
199,6983.1094
200,6751.1577
201,6767.837
202,6763.8813
203,6870.655
204,6757.2715
205,6639.2837
206,6992.827
207,6908.6445
208,6757.2715
209,6908.6445
210,6757.6777
211,7514.377
212,7792.693
213,6980.7583
214,7720.2144
215,7939.9927
216,6965.322
217,6827.8057
218,7592.813
219,7065.82
220,6484.4536
221,8047.241
222,7059.4067
223,7075.0454
224,7075.0454
225,7228.694
226,7126.009
227,7145.14
228,7214.0024
229,7127.1504
230,6382.907
231,6418.2
232,7242.7456
233,6479.013
234,6374.086
235,7656.3438
236,6837.953
237,7888.7373
238,9433.524
239,8159.7593
240,7419.308
241,8007.986
242,8067.6606
243,7841.4614
244,8007.986
245,8624.302
246,7933.1567
247,7841.4614
248,9061.138
249,7970.5405
250,9171.554
251,7824.7856
252,7916.286
253,7820.988
254,7288.205
255,7604.387
256,8688.95
257,7578.1763
258,7697.0464
259,8729.895
260,7621.015
261,7738.3867
262,7699.1465
263,7743.592
264,9139.68
265,8988.857
266,8127.9897
267,7993.8604
268,8456.19
269,9359.882
270,7919.639
271,8905.399
272,8372.925
273,9359.882
274,9337.724
275,8452.586
276,8377.678
277,9403.987
278,8729.72
279,8701.747
280,8517.475
281,8652.025
282,9558.082
283,8618.66
284,10065.713
285,8891.913
286,9321.804
287,9843.703
288,9148.244
289,9148.244
290,8414.627
291,8350.435
292,8482.096
293,8903.548
294,8469.614
295,8765.863
296,9250.065
297,9473.269
298,8572.814
299,8469.614
300,7640.9795
301,7969.7573
302,8051.118
303,8137.3135
304,7969.7573
305,7511.9263
306,7416.1597
307,7151.5835
308,7230.28
309,6821.407
310,6561.503
311,8032.1504
312,6937.064
313,7759.3325
314,7733.915
315,7800.65
316,7452.8843
317,8141.2495
318,7059.5215
319,7873.6807
320,7207.936
321,7059.5215
322,6680.5356
323,6946.3535
324,7744.2715
325,7640.178
326,7025.981
327,7836.273
328,7173.691
329,7111.5938
330,6759.902
331,8151.1016
332,7790.5005
333,7131.788
334,7131.788
335,7070.0537
336,6984.9414
337,6609.511
338,7070.0537
339,8372.661
340,7311.586
341,7990.9023
342,7503.4834
343,7522.43
344,7376.414
345,7420.4404
346,7139.425
347,8264.473
348,7021.6064
349,7262.0312
350,7420.4404
351,7576.442
352,7462.0386
353,8276.218
354,7545.7344
355,7526.1836
356,8484.92
357,7743.429
358,7818.758
359,7657.7676
360,7575.3438
361,7381.932
362,7686.9883
363,8962.37
364,7425.304
365,7588.404
366,7796.261
367,8401.836
368,8372.134
369,7583.346
370,7954.8877
371,6854.9775
372,8087.669
373,7585.1333
374,6929.3335
375,8363.522
376,6929.3335
377,8041.1724
378,7965.912
379,7560.4233
380,6979.66
381,7762.3525
382,7769.3003
383,7252.133
384,6695.048
385,7066.9727
386,7024.3394
387,7024.3394
388,6807.387
389,6807.387
390,6695.048
391,7252.133
392,6916.5366
393,7617.1343
394,6335.771
395,7505.3516
396,6474.1206
397,6712.1772
398,7397.0293
399,6492.685
400,6357.376
401,7424.837
402,7734.2397
403,7018.172
404,7192.793
405,6776.667
406,7192.793
407,7018.172
408,7018.172
409,7075.7676
410,7075.7676
411,7818.907
412,7161.9863
413,6796.157
414,6719.5312
415,7161.9863
416,6424.8643
417,7601.4795
418,6765.4814
419,6424.8643
420,6141.8345
421,6739.879
422,7367.681
423,6714.3228
424,6450.956
425,6579.3765
426,6839.4927
427,6507.577
428,6183.7812
429,6377.996
430,7288.789
431,6825.3057
432,6825.3057
433,6565.735
434,6604.508
435,6438.5264
436,7150.035
437,6743.139
438,6276.3804
439,6930.7812
440,6969.9736
441,6653.421
442,6854.9517
443,6969.9736
444,6276.3804
445,6446.0967
446,6274.926
447,6282.4956
448,6373.66
449,6305.8135
450,6545.8755
451,6603.846
452,6603.846
453,6895.215
454,6423.4243
455,6677.376
456,7108.345
457,6202.1523
458,6093.583
459,6863.483
460,6102.7266
461,6525.92
462,6447.3574
463,6198.675
464,6014.8574
465,7003.427
466,6929.3335
467,6341.0005
468,6257.115
469,6444.314
470,6929.3335
471,6619.467
472,6182.7495
473,6961.8677
474,6256.996
475,6292.763
476,6181.6646
477,6489.911
478,7077.205
479,6504.363
480,6426.0596
481,6285.181
482,6426.0596
483,6489.911
484,6160.5156
485,6472.972
486,7220.5903
487,7133.659
488,6690.949
489,7111.336
490,6281.9805
491,7211.34
492,6546.1436
493,6883.295
494,6467.3315
495,6659.3696
496,7376.4917
497,6748.576
498,6107.5483
499,6732.6895
500,6663.627
501,6583.4067
502,6253.6367
503,6663.627
504,7342.6294
505,7342.6294
506,7108.1484
507,5968.3545
508,7353.247
509,6457.691
510,5969.2144
511,6379.9434
512,6611.1255
513,6543.3535
514,6336.025
515,7457.0654
516,6933.135
517,7858.952
518,6816.9517
519,6501.7017
520,7752.6816
521,6680.268
522,6394.4062
523,6943.399
524,7924.9814
525,6520.2456
526,7715.2676
527,6636.226
528,7830.602
529,6394.4062
530,6866.194
531,6949.8657
532,6885.902
533,7830.602
534,6885.902
535,7701.3794
536,6592.6562
537,6483.86
538,6898.175
539,7782.257
540,6520.1587
541,6597.783
542,7707.368
543,6789.4517
544,6899.1226
545,6833.4937
546,7874.5967
547,6884.352
548,7568.194
549,7568.194
550,6371.727
551,6478.6426
552,7695.182
553,7568.194
554,7695.182
555,6861.48
556,7817.356
557,6588.5264
558,6612.6895
559,6861.48
560,7632.6104
561,6747.4497
562,6747.4497
563,6861.48
564,7568.194
565,6910.773
566,6371.727
567,6778.878
568,6884.772
569,6693.2666
570,6824.173
571,6371.727
572,6747.4497
573,7695.182
574,6829.6753
575,6747.4497
576,6747.4497
577,6371.727
578,7660.602
579,7517.997
580,6329.4653
581,7517.997
582,6861.48
583,6796.118
584,7806.8423
585,6558.531
586,6789.147
587,6789.147
588,6796.118
589,7806.8423
590,6757.6714
591,6738.9277
592,7398.137
593,7666.5303
594,7702.239
595,7804.9736
596,7937.1533
597,7804.9736
598,6712.869
599,5679.9546
600,5852.9917
601,5648.812
602,6666.0996
603,7509.4116
604,6680.453
605,5658.9023
606,7237.0483
607,5306.1533
608,5853.874
609,5045.7983
610,5017.8545
611,5274.252
612,5845.817
613,4642.9043
614,5743.8184
615,5502.482
616,5347.5786
617,5502.482
618,5408.825
619,5408.825
620,5241.1772
621,6242.3496
622,6964.9165
623,6242.3496
624,6209.048
625,5704.485
626,5704.485
627,5330.549
628,5704.485
629,5704.485
630,5695.5415
631,6986.9937
632,6279.77
633,5588.435
634,5742.4375
635,5299.3604
636,5492.0474
637,5606.096
638,5348.7266
639,5492.0474
640,7009.0806
641,5606.096
642,5881.4214
643,5777.407
644,5312.1743
645,5613.6733
646,5559.486
647,5301.489
648,5070.8735
649,5404.395
650,5241.282
651,7462.772
652,5438.588
653,6889.699
654,5607.84
655,5679.4185
656,6968.232
657,5625.047
658,5235.067
659,5625.047
660,7756.0693
661,5394.1772
662,6979.7065
663,6431.615
664,7093.093
665,5338.848
666,5469.0303
667,5195.563
668,5028.9375
669,5636.0894
670,5028.9375
671,5414.1777
672,4985.5312
673,5085.017
674,5478.2036
675,5587.8433
676,5366.7563
677,5587.8433
678,5366.7563
679,5098.4023
680,5478.2036
681,5478.2036
682,4985.888
683,5478.2036
684,5350.053
685,5264.772
686,5502.545
687,5102.3574
688,4921.8843
689,5143.6245
690,5442.023
691,5331.3115
692,5331.3115
693,6736.685
694,5143.6245
695,5331.3115
696,5143.6245
697,5176.918
698,5602.0977
699,5442.023
700,5442.023
701,5331.3115
702,5198.979
703,5036.926
704,5455.921
705,6416.1987
706,5569.2197
707,7076.0913
708,5856.577
709,5629.5127
710,5629.5127
711,5252.3228
712,5377.2812
713,5604.92
714,5444.6865
715,6060.618
716,5929.9893
717,5700.0796
718,5968.3037
719,5584.119
720,5700.0796
721,5489.5127
722,5444.6865
